_c0,Create At,Title,Company,Location,Salary Snippet,Salary Range,Salary Period,Salary From,Salary To,Salary Fixed
0,2022-03-20 19:09:41.813391,Food Inspector (FI),USDA Food Safety and Inspection Service,"","$35,265 - $56,790 a year",range,yearly,35265,56790,""
1,2022-03-20 19:09:41.813778,Livestock Manager,"Hancock Shaker Village, Inc","","$35,000 - $40,000 a year",range,yearly,35000,40000,""
2,2022-03-20 19:09:41.814219,Consumer Safety Inspector,USDA Food Safety and Inspection Service,"","$48,445 - $77,034 a year",range,yearly,48445,77034,""
3,2022-03-20 19:09:41.814648,Supervisory Consumer Safety Inspector,USDA Food Safety and Inspection Service,"Storm Lake, IA","$58,842 - $76,499 a year",range,yearly,58842,76499,""
4,2022-03-20 19:09:41.815091,General Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
5,2022-03-20 19:09:41.815494,Crew Member,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
6,2022-03-20 19:09:41.815742,Host,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
7,2022-03-20 19:09:41.815996,Shift Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
8,2022-03-20 19:09:41.816416,Team Member,"Burger King | Shonaz Foods, Inc.","","","","","","",""
9,2022-03-20 19:09:41.817024,Crew Member,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
10,2022-03-20 19:09:41.817370,Bartender,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
11,2022-03-20 19:09:41.817767,Line Cook,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
12,2022-03-20 19:09:41.818210,Server,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
13,2022-03-20 19:09:41.818473,To Go Specialist,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
14,2022-03-20 19:09:41.818824,Shift Supervisor,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
15,2022-03-20 19:09:41.819134,Lead Supply Planner,Memphis Meats,"Berkeley, CA","","","","","",""
16,2022-03-20 19:09:41.819672,General Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
17,2022-03-20 19:09:41.820302,Crew Member,"Wendy's | Haza Foods, LLC","","","","","","",""
18,2022-03-20 19:09:41.820972,Restaurant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
19,2022-03-20 19:09:41.821604,Team Member: Food Champion,Taco Bell | Tacala Companies,"","","","","","",""
20,2022-03-20 19:09:41.822221,Team Member: Service Champion,Taco Bell | Tacala Companies,"","","","","","",""
21,2022-03-20 19:09:41.822800,Shift Supervisor,"Wendy's | Haza Foods, LLC","","","","","","",""
22,2022-03-20 19:09:41.823324,Maintenance Technician,"Wendy's | Haza Foods, LLC","","","","","","",""
23,2022-03-20 19:09:41.823871,Assistant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
24,2022-03-20 19:09:41.824491,Assistant Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
25,2022-03-20 19:09:41.825153,Shift Lead,Taco Bell | Tacala Companies,"","","","","","",""
26,2022-03-20 19:09:41.825668,Maintenance Parts Clerk - 2nd and 3rd Shift,"FPL FOOD, LLC","",$14 - $17 an hour,range,hourly,14,17,""
27,2022-03-20 19:09:41.826174,Executive Assistant to CEO/COO,New Age Meats,"Berkeley, CA","","","","","",""
28,2022-03-20 19:09:41.826694,"Research Associate, Upstream Development",UPSIDE Foods,"Berkeley, CA","","","","","",""
29,2022-03-20 19:09:41.827211,Research Associate - Biomaterials Engineering,New Age Meats,"Berkeley, CA","","","","","",""
30,2022-03-20 19:09:41.827807,QUALITY ASSURANCE SUPERINTENDENT,Pilgrim's,"","","","","","",""
31,2022-03-20 19:09:41.828379,Quality Assurance Specialist II/III,"Wild Rose Foods, LLC","","","","","","",""
32,2022-03-20 19:09:41.828891,"Beef Production Jobs in MINNESOTA, INTERVIEWS in San Juan, P...",American Foods Group,"",$16.25 - $23.25 an hour,range,hourly,16.25,23.25,""
0,2022-03-20 19:09:44.428131,Consumer Safety Inspector,USDA Food Safety and Inspection Service,"","$48,445 - $77,034 a year",range,yearly,48445,77034,""
1,2022-03-20 19:09:44.428555,Livestock Manager,"Hancock Shaker Village, Inc","","$35,000 - $40,000 a year",range,yearly,35000,40000,""
2,2022-03-20 19:09:44.429060,Food Inspector (FI),USDA Food Safety and Inspection Service,"","$35,265 - $56,790 a year",range,yearly,35265,56790,""
3,2022-03-20 19:09:44.429497,Supervisory Consumer Safety Inspector,USDA Food Safety and Inspection Service,"Storm Lake, IA","$58,842 - $76,499 a year",range,yearly,58842,76499,""
4,2022-03-20 19:09:44.429992,General Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
5,2022-03-20 19:09:44.430462,Host,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
6,2022-03-20 19:09:44.430932,Crew Member,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
7,2022-03-20 19:09:44.431437,Bartender,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
8,2022-03-20 19:09:44.431853,Shift Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
9,2022-03-20 19:09:44.432153,Team Member,"Burger King | Shonaz Foods, Inc.","","","","","","",""
10,2022-03-20 19:09:44.432693,Crew Member,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
11,2022-03-20 19:09:44.433233,Line Cook,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
12,2022-03-20 19:09:44.433525,Server,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
13,2022-03-20 19:09:44.433874,To Go Specialist,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
14,2022-03-20 19:09:44.434473,Shift Supervisor,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
15,2022-03-20 19:09:44.434849,Lead Supply Planner,Memphis Meats,"Berkeley, CA","","","","","",""
16,2022-03-20 19:09:44.435199,General Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
17,2022-03-20 19:09:44.435805,Restaurant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
18,2022-03-20 19:09:44.436267,Crew Member,"Wendy's | Haza Foods, LLC","","","","","","",""
19,2022-03-20 19:09:44.436675,Team Member: Food Champion,Taco Bell | Tacala Companies,"","","","","","",""
20,2022-03-20 19:09:44.437304,Team Member: Service Champion,Taco Bell | Tacala Companies,"","","","","","",""
21,2022-03-20 19:09:44.438020,Assistant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
22,2022-03-20 19:09:44.438633,Shift Supervisor,"Wendy's | Haza Foods, LLC","","","","","","",""
23,2022-03-20 19:09:44.439247,Maintenance Technician,"Wendy's | Haza Foods, LLC","","","","","","",""
24,2022-03-20 19:09:44.439861,Assistant Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
25,2022-03-20 19:09:44.440455,Shift Lead,Taco Bell | Tacala Companies,"","","","","","",""
26,2022-03-20 19:09:44.440930,Maintenance Parts Clerk - 2nd and 3rd Shift,"FPL FOOD, LLC","",$14 - $17 an hour,range,hourly,14,17,""
27,2022-03-20 19:09:44.441383,Executive Assistant to CEO/COO,New Age Meats,"Berkeley, CA","","","","","",""
28,2022-03-20 19:09:44.441838,"Research Associate, Upstream Development",UPSIDE Foods,"Berkeley, CA","","","","","",""
29,2022-03-20 19:09:44.442344,Research Associate - Biomaterials Engineering,New Age Meats,"Berkeley, CA","","","","","",""
30,2022-03-20 19:09:44.442958,QUALITY ASSURANCE SUPERINTENDENT,Pilgrim's,"","","","","","",""
31,2022-03-20 19:09:44.443465,Quality Assurance Specialist II/III,"Wild Rose Foods, LLC","","","","","","",""
32,2022-03-20 19:09:44.443973,"Beef Production Jobs in MINNESOTA, INTERVIEWS in San Juan, P...",American Foods Group,"",$16.25 - $23.25 an hour,range,hourly,16.25,23.25,""
0,2022-03-20 19:09:44.702086,Food Inspector (FI),USDA Food Safety and Inspection Service,"","$35,265 - $56,790 a year",range,yearly,35265,56790,""
1,2022-03-20 19:09:44.702291,Livestock Manager,"Hancock Shaker Village, Inc","","$35,000 - $40,000 a year",range,yearly,35000,40000,""
2,2022-03-20 19:09:44.702519,Consumer Safety Inspector,USDA Food Safety and Inspection Service,"","$48,445 - $77,034 a year",range,yearly,48445,77034,""
3,2022-03-20 19:09:44.702740,Supervisory Consumer Safety Inspector,USDA Food Safety and Inspection Service,"Storm Lake, IA","$58,842 - $76,499 a year",range,yearly,58842,76499,""
4,2022-03-20 19:09:44.703002,General Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
5,2022-03-20 19:09:44.703258,Crew Member,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
6,2022-03-20 19:09:44.703518,Host,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
7,2022-03-20 19:09:44.703776,Shift Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
8,2022-03-20 19:09:44.704032,Team Member,"Burger King | Shonaz Foods, Inc.","","","","","","",""
9,2022-03-20 19:09:44.704318,Crew Member,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
10,2022-03-20 19:09:44.704572,Bartender,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
11,2022-03-20 19:09:44.704958,Line Cook,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
12,2022-03-20 19:09:44.705274,Server,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
13,2022-03-20 19:09:44.705522,To Go Specialist,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
14,2022-03-20 19:09:44.705803,Shift Supervisor,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
15,2022-03-20 19:09:44.706033,Lead Supply Planner,Memphis Meats,"Berkeley, CA","","","","","",""
16,2022-03-20 19:09:44.706318,General Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
17,2022-03-20 19:09:44.706601,Restaurant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
18,2022-03-20 19:09:44.706883,Crew Member,"Wendy's | Haza Foods, LLC","","","","","","",""
19,2022-03-20 19:09:44.707168,Team Member: Food Champion,Taco Bell | Tacala Companies,"","","","","","",""
20,2022-03-20 19:09:44.707450,Team Member: Service Champion,Taco Bell | Tacala Companies,"","","","","","",""
21,2022-03-20 19:09:44.707733,Shift Supervisor,"Wendy's | Haza Foods, LLC","","","","","","",""
22,2022-03-20 19:09:44.708017,Assistant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
23,2022-03-20 19:09:44.708300,Maintenance Technician,"Wendy's | Haza Foods, LLC","","","","","","",""
24,2022-03-20 19:09:44.708583,Assistant Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
25,2022-03-20 19:09:44.708952,Shift Lead,Taco Bell | Tacala Companies,"","","","","","",""
26,2022-03-20 19:09:44.709188,Maintenance Parts Clerk - 2nd and 3rd Shift,"FPL FOOD, LLC","",$14 - $17 an hour,range,hourly,14,17,""
27,2022-03-20 19:09:44.709437,Executive Assistant to CEO/COO,New Age Meats,"Berkeley, CA","","","","","",""
28,2022-03-20 19:09:44.709689,"Research Associate, Upstream Development",UPSIDE Foods,"Berkeley, CA","","","","","",""
29,2022-03-20 19:09:44.709925,Research Associate - Biomaterials Engineering,New Age Meats,"Berkeley, CA","","","","","",""
30,2022-03-20 19:09:44.710211,QUALITY ASSURANCE SUPERINTENDENT,Pilgrim's,"","","","","","",""
31,2022-03-20 19:09:44.710473,Quality Assurance Specialist II/III,"Wild Rose Foods, LLC","","","","","","",""
32,2022-03-20 19:09:44.710704,"Beef Production Jobs in MINNESOTA, INTERVIEWS in San Juan, P...",American Foods Group,"",$16.25 - $23.25 an hour,range,hourly,16.25,23.25,""
0,2022-03-20 19:09:48.403166,Food Inspector (FI),USDA Food Safety and Inspection Service,"","$35,265 - $56,790 a year",range,yearly,35265,56790,""
