,Create At,Name,Price
0,2022-03-22 15:44:55.122547,Karlie Small Leather Crossbody Bag,4400.00
1,2022-03-22 15:44:55.122646,Karlie Small Logo Crossbody Bag,4860.00
2,2022-03-22 15:44:55.122728,Karlie Medium Leather Satchel,6760.00
3,2022-03-22 15:44:55.122811,Karlie Medium Logo Satchel,6760.00
4,2022-03-22 15:44:55.122894,Karlie Medium Leather Satchel,6760.00
5,2022-03-22 15:44:55.122981,Karlie Medium Logo Satchel,6760.00
6,2022-03-22 15:44:55.123066,Marilyn Small Color-Block Saffiano Leather Crossbody Bag,3500.00
7,2022-03-22 15:44:55.123148,Marilyn Small Logo Crossbody Bag,3500.00
8,2022-03-22 15:44:55.123229,Marilyn Medium Logo Satchel,4050.00
9,2022-03-22 15:44:55.123317,Marilyn Medium Saffiano Leather Satchel,4400.00
10,2022-03-22 15:44:55.123400,Edith Large Saffiano Leather Satchel,6760.00
11,2022-03-22 15:44:55.123495,Hamilton Legacy Large Logo Stripe Belted Satchel,7200.00
12,2022-03-22 15:44:55.123581,Edith Large Saffiano Leather Satchel,6760.00
13,2022-03-22 15:44:55.123667,Hamilton Legacy Large Logo Stripe Belted Satchel,7200.00
14,2022-03-22 15:44:55.123754,Marilyn Medium Logo Stripe Satchel,4050.00
15,2022-03-22 15:44:55.123839,Marilyn Medium Logo Stripe Satchel,4050.00
16,2022-03-22 15:44:55.123926,Karlie Large Pebbled Leather Tote Bag,5400.00
17,2022-03-22 15:44:55.124020,Karlie Large Pebbled Leather Tote Bag,5400.00
18,2022-03-22 15:44:55.124107,Karlie Large Pebbled Leather Tote Bag,5400.00
19,2022-03-22 15:44:55.124191,Freya Large Pebbled Leather Tote Bag,5400.00
20,2022-03-22 15:44:55.124280,Karlie Large Pebbled Leather Tote Bag,5400.00
21,2022-03-22 15:44:55.124364,Freya Large Pebbled Leather Tote Bag,5400.00
22,2022-03-22 15:44:55.124446,Jet Set Charm Small Logo Shoulder Bag,2690.00
23,2022-03-22 15:44:55.124530,Jet Set Charm Small Nylon Gabardine Shoulder Bag,2150.00
24,2022-03-22 15:44:55.124612,Jet Set Charm Small Logo Shoulder Bag,2690.00
25,2022-03-22 15:44:55.124699,Jet Set Charm Small Logo Shoulder Bag,2690.00
26,2022-03-22 15:44:55.124787,Greenwich Small Saffiano Leather Crossbody Bag,3780.00
27,2022-03-22 15:44:55.124869,Greenwich Small Two-Tone Logo and Saffiano Leather Crossbody Bag,3800.00
28,2022-03-22 15:44:55.124951,SoHo Large Quilted Leather Shoulder Bag,5130.00
29,2022-03-22 15:44:55.125034,Greenwich Medium Studded Saffiano Leather Shoulder Bag,5600.00
30,2022-03-22 15:44:55.125115,Greenwich Small Saffiano Leather Crossbody Bag,3780.00
31,2022-03-22 15:44:55.125197,Greenwich Small Two-Tone Logo and Saffiano Leather Crossbody Bag,3800.00
32,2022-03-22 15:44:55.125279,Bradshaw Medium Color-Block Graphic Logo Camera Bag,3500.00
33,2022-03-22 15:44:55.125365,Bradshaw Medium Canvas Camera Bag,3100.00
34,2022-03-22 15:44:55.125447,Bradshaw Medium Color-Block Graphic Logo Camera Bag,3500.00
35,2022-03-22 15:44:55.125531,Bradshaw Medium Canvas Camera Bag,3100.00
36,2022-03-22 15:44:55.125614,SoHo Large Quilted Leather Shoulder Bag,5130.00
37,2022-03-22 15:44:55.125699,Greenwich Medium Studded Saffiano Leather Shoulder Bag,5600.00
38,2022-03-22 15:44:55.125783,SoHo Large Quilted Leather Shoulder Bag,5100.00
39,2022-03-22 15:44:55.125867,Greenwich Medium Studded Saffiano Leather Shoulder Bag,5600.00
40,2022-03-22 15:44:55.125951,Sullivan Large Logo Top-Zip Tote Bag,5400.00
41,2022-03-22 15:44:55.126033,Sullivan Small Logo Top-Zip Tote Bag,3500.00
42,2022-03-22 15:44:55.126119,Brooklyn Medium Logo Backpack,4050.00
43,2022-03-22 15:44:55.126204,Bedford Travel Extra-Large Logo Stripe Weekender Bag,5130.00
44,2022-03-22 15:44:55.126287,Sullivan Large Logo Top-Zip Tote Bag,3780.00
45,2022-03-22 15:44:55.126372,Sullivan Small Saffiano Leather Top-Zip Tote Bag,3500.00
46,2022-03-22 15:44:55.126454,Voyager Medium Logo Stripe Tote Bag,3780.00
47,2022-03-22 15:44:55.126537,Voyager Medium Logo Tote Bag,3500.00
48,2022-03-22 15:44:55.126623,Sullivan Large Logo Top-Zip Tote Bag,3780.00
49,2022-03-22 15:44:55.127005,Sullivan Small Saffiano Leather Top-Zip Tote Bag,3500.00
50,2022-03-22 15:44:55.127141,Brooklyn Medium Logo Backpack,4050.00
51,2022-03-22 15:44:55.127228,Bedford Travel Extra-Large Logo Stripe Weekender Bag,5130.00
52,2022-03-22 15:44:55.127312,Voyager Medium Logo Stripe Tote Bag,3780.00
53,2022-03-22 15:44:55.127400,Voyager Medium Logo Tote Bag,3500.00
54,2022-03-22 15:44:55.127512,Marilyn Medium Saffiano Leather Tote Bag,3100.00
55,2022-03-22 15:44:55.127597,Marilyn Medium Saffiano Leather Tote Bag,3100.00
56,2022-03-22 15:44:55.127688,Molly Large Pebbled Leather Tote Bag,4450.00
57,2022-03-22 15:44:55.127775,Molly Large Pebbled Leather Tote Bag,4450.00
58,2022-03-22 15:44:55.127859,Devon Medium Logo Bucket Bag,5600.00
59,2022-03-22 15:44:55.127942,Devon Medium Logo Bucket Bag,5600.00
60,2022-03-22 15:44:55.128174,Jet Set Large Logo Crossbody Bag,4050.00
61,2022-03-22 15:44:55.128270,Jet Set Large Logo Crossbody Bag,4050.00
62,2022-03-22 15:44:55.128355,Devon Medium Logo Bucket Bag,5600.00
63,2022-03-22 15:44:55.128438,Devon Medium Logo Bucket Bag,5600.00
64,2022-03-22 15:44:55.128521,Devon Small Canvas Bucket Bag,4450.00
65,2022-03-22 15:44:55.128612,Devon Small Two-Tone Logo Bucket Bag,4700.00
66,2022-03-22 15:44:55.128695,Devon Small Canvas Bucket Bag,4450.00
67,2022-03-22 15:44:55.128780,Devon Small Two-Tone Logo Bucket Bag,4700.00
68,2022-03-22 15:44:55.128861,Jet Set Large Logo Crossbody Bag,4050.00
69,2022-03-22 15:44:55.128946,Jet Set Large Logo Crossbody Bag,4050.00
70,2022-03-22 15:44:55.129031,Slater Extra-Small Logo Sling Pack,3500.00
71,2022-03-22 15:44:55.129115,Slater Extra-Small Pebbled Leather Sling Pack,3500.00
72,2022-03-22 15:44:55.129944,Jet Set Large Logo Crossbody Bag,2280.00
73,2022-03-22 15:44:55.130038,Greenwich Medium Logo Satchel,5400.00
74,2022-03-22 15:44:55.130124,Ginny Leather Crossbody Bag,2420.00
75,2022-03-22 15:44:55.130209,Jet Set Large Saffiano Leather Crossbody Bag,2280.00
76,2022-03-22 15:44:55.130293,Greenwich Medium Saffiano Leather Satchel,5400.00
77,2022-03-22 15:44:55.130380,Phoebe Large Logo and Pebbled Leather Tote Bag,4860.00
78,2022-03-22 15:44:55.130466,Jade Large Tri-Color Logo Crossbody Bag,3500.00
79,2022-03-22 15:44:55.130550,Jet Set Large Logo Crossbody Bag,2280.00
80,2022-03-22 15:44:55.130638,Greenwich Medium Saffiano Leather Satchel,5400.00
81,2022-03-22 15:44:55.130720,Phoebe Large Logo and Pebbled Leather Tote Bag,4860.00
82,2022-03-22 15:44:55.130802,Ginny Leather Crossbody Bag,2420.00
83,2022-03-22 15:44:55.130885,Jet Set Large Saffiano Leather Crossbody Bag,2280.00
84,2022-03-22 15:44:55.130970,Jade Large Tri-Color Logo Crossbody Bag,3500.00
85,2022-03-22 15:44:55.131052,Jet Set Large Logo Crossbody Bag,2280.00
86,2022-03-22 15:44:55.131144,Sullivan Small Logo Top-Zip Tote Bag,2900.00 -  4100.00
87,2022-03-22 15:44:55.131226,Voyager Medium Crossgrain Leather Tote Bag,3500.00
88,2022-03-22 15:44:55.131307,Hamilton Legacy Medium Leather Messenger Bag,5400.00
89,2022-03-22 15:44:55.131392,Hamilton Legacy Medium Leather Messenger Bag,5400.00
90,2022-03-22 15:44:55.131513,Slater Extra-Small Logo Sling Pack,3500.00
91,2022-03-22 15:44:55.131599,Piper Small Metallic Snake Embossed Leather Shoulder Bag,4400.00
92,2022-03-22 15:44:55.131686,Greenwich Small Embossed Scuba and Faux Leather Crossbody Bag,4400.00
93,2022-03-22 15:44:55.131771,Slater Medium Logo Embossed Scuba Sling Pack,4000.00
94,2022-03-22 15:44:55.131852,Slater Extra-Small Logo Sling Pack,3500.00
95,2022-03-22 15:44:55.131934,Piper Small Metallic Snake Embossed Leather Shoulder Bag,4400.00
96,2022-03-22 15:44:55.132146,Piper Small Snake Embossed Leather Shoulder Bag,4100.00
97,2022-03-22 15:44:55.132244,Jet Set Charm Small Nylon Gabardine Shoulder Bag,2150.00
98,2022-03-22 15:44:55.132329,Piper Small Snake Embossed Leather Shoulder Bag,4100.00
99,2022-03-22 15:44:55.132419,Jet Set Charm Small Nylon Gabardine Shoulder Bag,2150.00
100,2022-03-22 15:44:55.132501,Greenwich Small Embossed Scuba and Faux Leather Crossbody Bag,4400.00
101,2022-03-22 15:44:55.132586,Slater Medium Logo Embossed Scuba Sling Pack,4000.00
102,2022-03-22 15:44:55.132670,Slater Medium Logo Embossed Scuba Backpack,4400.00
103,2022-03-22 15:44:55.132753,Slater Medium Logo Sling Pack,3370.00
104,2022-03-22 15:44:55.154699,Greenwich Small Color-Block Logo and Saffiano Leather Crossbody Bag,3800.00
105,2022-03-22 15:44:55.154784,Eva Large Logo Stripe Tote Bag,3100.00
106,2022-03-22 15:44:55.154863,Phoebe Large Pebbled Leather Tote Bag,4860.00
107,2022-03-22 15:44:55.154942,Edith Large Logo Satchel,6760.00
108,2022-03-22 15:44:55.155021,Marilyn Medium Saffiano Leather Tote Bag,3100.00
109,2022-03-22 15:44:55.155103,Small Quilted Leather Smartphone Crossbody Bag,2690.00
110,2022-03-22 15:44:55.155180,SoHo Large Quilted Leather Shoulder Bag,5100.00
111,2022-03-22 15:44:55.155267,Marilyn Medium Logo Tote Bag,3100.00
112,2022-03-22 15:44:55.155345,Jet Set Large Logo Crossbody Bag,4050.00
113,2022-03-22 15:44:55.155424,Greenwich Extra-Small Color-Block Saffiano Leather Satchel,3800.00
114,2022-03-22 15:44:55.155502,Greenwich Medium Color-Block Saffiano Leather Shoulder Bag,4400.00
115,2022-03-22 15:44:55.155580,Slater Large Logo Backpack,4450.00
116,2022-03-22 15:44:55.155660,Hamilton Legacy Small Logo Belted Satchel,5400.00
117,2022-03-22 15:44:55.155737,Hamilton Legacy Small Studded Leather Belted Satchel,7570.00
118,2022-03-22 15:44:55.155816,Hamilton Legacy Large Studded Leather and Logo Belted Satchel,8930.00
119,2022-03-22 15:44:55.155894,Hamilton Large Studded Leather Belted Satchel,8930.00
120,2022-03-22 15:44:55.155968,Greenwich Small Saffiano Leather Crossbody Bag,3800.00
121,2022-03-22 15:44:55.156043,Greenwich Small Saffiano Leather Crossbody Bag,3780.00
122,2022-03-22 15:44:55.156119,Greenwich Medium Logo Shoulder Bag,4860.00
123,2022-03-22 15:44:55.156194,Jet Set Charm Logo and Leather Smartphone Wallet,2150.00
124,2022-03-22 15:44:55.156270,Marilyn Medium Saffiano Leather Satchel,4050.00
125,2022-03-22 15:44:55.156346,Phoebe Extra-Small Pebbled Leather Crossbody Bag,3500.00
126,2022-03-22 15:44:55.156422,Phoebe Extra-Small Pebbled Leather Crossbody Bag,3500.00
127,2022-03-22 15:44:55.156498,Freya Large Pebbled Leather Tote Bag,4800.00
128,2022-03-22 15:44:55.156574,Karlie Medium Studded Quilted Logo Satchel,8120.00
129,2022-03-22 15:44:55.156650,Sienna Medium Pebbled Leather Satchel,4050.00
130,2022-03-22 15:44:55.156725,Cleo Medium Saffiano Leather Satchel,5400.00
131,2022-03-22 15:44:55.156806,Hamilton Legacy Small Crocodile Embossed Leather Belted Satchel,6970.00
132,2022-03-22 15:44:55.156881,Hamilton Legacy Large Logo Belted Satchel,8120.00
133,2022-03-22 15:44:55.156959,Hamilton Legacy Large Leather Belted Satchel,8120.00
134,2022-03-22 15:44:55.157036,Hamilton Legacy Small Leather Belted Satchel,6760.00
135,2022-03-22 15:44:55.157119,Slater Medium Signature Logo Stripe Backpack,4450.00
136,2022-03-22 15:44:55.157197,Bedford Travel Extra-Large Logo Stripe Weekender Bag,5400.00
137,2022-03-22 15:44:55.157364,Eva Large Signature Logo Stripe Tote Bag,4050.00
138,2022-03-22 15:44:55.157456,Jet Set Medium Logo Stripe Camera Bag,2690.00
139,2022-03-22 15:44:55.157536,Slater Medium Quilted Leather Backpack,5130.00
140,2022-03-22 15:44:55.157615,Sinclair Large Pebbled Leather Tote Bag,4050.00
141,2022-03-22 15:44:55.157696,ASHYA X MICHAEL KORS Saga Signature And Leather Multi Bag,6760.00
142,2022-03-22 15:44:55.157775,ASHYA X MICHAEL KORS Saga Signature And Leather Multi Bag,6760.00
143,2022-03-22 15:44:55.157863,ASHYA X MICHAEL KORS Saga Signature And Leather Bolo Bag,4050.00
144,2022-03-22 15:44:55.157942,ASHYA X MICHAEL KORS Saga Signature And Leather Bolo Bag,4050.00
145,2022-03-22 15:44:55.158020,Large Logo Dome Crossbody Bag,2900.00
146,2022-03-22 15:44:55.158098,Ginny Medium Logo Crossbody Bag,2420.00
147,2022-03-22 15:44:55.158174,Bedford Legacy Extra-Small Logo Duffle Crossbody Bag,2500.00
148,2022-03-22 15:44:55.158248,Greenwich Medium Saffiano Leather Shoulder Bag,4400.00
149,2022-03-22 15:44:55.158325,Rhea Medium Color-Block Logo Backpack,4100.00
150,2022-03-22 15:44:55.158398,Rhea Medium Logo Backpack,4050.00
151,2022-03-22 15:44:55.158474,Rhea Mini Logo Backpack,3100.00
152,2022-03-22 15:44:55.158548,Voyager Medium Color-Block Logo Tote Bag,4050.00
153,2022-03-22 15:44:55.158620,Mina Small Pebbled Leather Crossbody Bag,4860.00
154,2022-03-22 15:44:55.158693,Mina Small Logo Crossbody Bag,4450.00
